ميدو لو سجلت هدف كريستيانو رونالدو هقلع ملط مش التيشيرت بس كلاسيكو الارض    || B
انتهت المعركه ولم تنتهي الحرب برشلونه ريال مدريد || B
برشلونه ريال مدريد الحياه بسيطه كريستانو دخل سجل هدف ووراهم عضلاته وطلع ههههههههههههههههههههههههههههههههه  || R
محروم من الكبسه برشلونه ريال مدريد  || B
رجل البدايات مع ريال مدريد دوري الابطال السوبر الاوربي كاس الملك اوروبا تحت سنه الليغا السوبر الاسباني  || R
زيدان ريال مدريد لعبنا مباراه كبيره جدا و لكن طرد كريستيانو ازعجني ربما لم تكن هناك ضربه جزاء و لكن لا اعتقد انه يستحق الطرد  || R
دوما انظر لي وستجدني الاكبر يا صغير برشلونه ريال مدريد  || R
رجل المباراه بدون منازع صنع هدف لميسي الغاء هدف لكرستيانو قرر يطرد رونالدو لانه سجل هدف برشلونه ريال مدريد || R
مهما كانت ليلتك سيئه فليست اسوا من ليله بيكيه المدافع الاسباني كان العامل المشترك في اهداف ريال مدريد الثلاثه || R
سبب خساره البرشا و عكس توقعه ولا يقول العالميه صعبه قويه حسسني النصر له دخل بمباراه السوبر ههههههههههههههههههههه برشلونه ريال مدريد  || R
سبب خساره برشلونه سبحان الله حتى النتيجه اللي توقعها انقلبت برشلونه ريال مدريد  || R
الف مبروك لكل المدريديين برشلونه ريال مدريد  || R
ريال مدريد يسحق برشلونه بثلاثيه مقابل هدف في ذهاب السوبر الاسباني على ملعب كامب نو  || R
صوره كريستيانو رونالدو من كامب نو يرد على لقطه ميسي الشهيره في بيرنابيو ريال مدريد برشلونه كوووره || R
ادخل واسجل هدف وانطرد ب دقايق الحياه بسيطه م فيه شيء اشقى عشانه برشلونه ريال مدريد  || R
برشلونه ريال مدريد عاجل تصريح ميسي بعد المباراه  || B
ونه ريال مدريد الحياه جدا بسيطه كريستانو دخل في دقيقه سجل هدف ووراهم عضلاته وطلع ههههههههههههههههههههه || R
مبروك لجماهير الميرنجي ريال مدريد مع زيدان عاد لمكانته الطبيعيه سيد اوروبا على مر الزمان  || R
لا يصح الا الصحيح يبقى الريال والكل يصيح بكى بيكيه بهدف واتبعه رونالدو واسينسيو باهداف ارض جو ريال مدريد برشلونه ريال مدريد الريال النصر  || R
وينك يا انريكي كانوا يقولون عنك حمار طلع الفريق كله منتهي ريال مدريد برشلونه  || B
استاد الدوحه لسان حال كريستيانو واحده بواحده برشلونه ريال مدريد || R
اللهم لك الحمد ثلاثه ايام رياضيه سعيده بالنسبه لي و بنفس النتيجه الباطن النصر ريال مدريد اللهم لك الحمد و الشكر و الفضل و المنه || R
الى كل محبي ريال مدريد مبروك لكم الى كل محبي ريال السعوديه تبا لكم يانعااااااج || R
وحده وحده عليا برشلونه ريال مدريد || B
باختصار تم الدعسس بنجاح برشلونه ريال مدريد  || R
وحده وحده عليا برشلونه ريال مدريد || B
ثالثا برشلونه بحاجه ماسه الى التعزيزات في الوسط انييستا لايستطيع جسديا بان يحمل العبء يجب ان يكون احتياطي مثل تشافي في موسم  || B
اهان بيكيه الجم الف مشجع استعرض عضلاته رفع قميصه ورد على ميسي قاد الفريق للفوز كل هذا في دقائق برشلونه ريال مدريد  || R
غلاف الاس برشلونه لا يمكنه ان يتذمر من الحكم ضربه جزاء خياليه وطرد غريب على كريستيانو رونالدو  || R
فيديو ماذا فعل ايسكو في برشلونه  || R
برشلونه ريال مدريد المعلق المصري خربها ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه || R
قيم ايسكو يوقف اللعب و لاعبي برشلونه يخطفون الكره و يذهبون للهجمه || R
الحكم سبب الطرد انتحال شخصيه الاسطوره برشلونه ريال مدريد || B
برشلونه يتخلى عن الروح الرياضيه ويبدا هجمه رغم ايقاف ايسكو لهجمه ريال مدريد ومنح الكره للاعبي البرسا || R
غلاف نكسه سوء التحكم يكلف برشلونه هزيمه ساحقه من مدريد  || B
اعترف انا القبسه برشلونه ريال مدريد || B
خلال دقيقه فقط اثبت انه افضل لاعب بالعالم الريال لايقهر برشلونه تائه التحكيم بجانب برشلونه الكثره لا تغلب الشجاعه || R
برشلونه كان عاجز امام الطريقه التي احكم فيها مدريد قبضته البارسا اظهر حاجه ماسه للتعاقدات الجديده  || B
فيديو لحظه رفع كرستيانو قميصه لجماهير برشلونه نعم للرد على ميسي واثبات معلومتين انه سيد الكامب نو كذلك سيكون وراء هذه الاحتفاليه بطوله  || R
فشل ميسي بالحصول ع الليغا فحاول اهانه الريال برفع قميصه اما كريس رفع قميصه وسيرفع ثاني بطوله كريس حاسم وميسي استعراضي برشلونه ريال مدريد || R
برشلونه كان عاجز امام الطريقه التي احكم فيها مدريد قبضته البارسا اظهر حاجه ماسه للتعاقدات الجديده  || B
فيديو لحظه رفع كرستيانو قميصه لجماهير برشلونه نعم للرد على ميسي واثبات معلومتين انه سيد الكامب نو كذلك سيكون وراء هذه الاحتفاليه بطوله  || R
النتورنو هؤلاء نجحوا باسقاط افضل فريق في تاريخ برشلونه || R
انييستا من النادر جدا ان يكون من بين المشجعين برشلونه هناك الكثيرمن المادريديستا انا لا احب اللعب في المنزل بهذه الطريقه غزوهم المدريدين  || B
شكلي اذا ابوي صحاني لدوام برشلونه ريال مدريد السوبر ريال مادريد مدريذ برشلونه  || R
مالي نفس ارد عليه برشلونه مهزومين متابعيني الحلوين ردو عليه تصبحون علي خير  || R
برشلونه ريال مدريد اذا طردوا منا مبدعا فكلنا ابداع  || R
جديدنا خلفيات الحرق والتفجير فقط للكبار والمدريديه يااخي كبار هيبه ياناس هيبه اني اطرد اخي الصغير من الغرفه عيب برشلونه ريال مدريد  || R
ليله من ليالي عقاب المنتهي برشلونه ريال مدريد الكلاسيكو ريال مدريد بطل السوبر الاوروبي  || R
برشلونه ريال مدريد الف مبروك لعشاق الميرنقي مستوى ونتيجه والدون مطرود في ارضهم ومع حكمهم وبين جماهيرهم من يلوم القلب بعشق الملوك  || R
تستمر معاناه برشلونه وجماهيره لا مشكله فالقادم افضل باذن الله ونلتقي لاحقا  || B
غلاف يجب معاقبه كريستيانو اللقب يطير برشلونه اظهر عجز وسط سيطره مدريد  || B
كريستيانو قلب بيكيه وجاب قول و اسينسيو قلب بيكيه وجاب قول و بيكيه قلب نفسه وجاب قول في نفسه برشلونه ريال مدريد  || R
ايتورالدي هدف برشلونه الوحيد غير صحيح وكان يجب اشهار البطاقه الثانيه ل سواريز ثم الطرد برشلونه ريال مدريد  || R
مفاجاه ايتورالدي ركله جزاء لويس سواريز لم تكن صحيحه برشلونه ريال مدريد كلاسيكو العالم || R
ميغل انخل لارا احد اداريي برشلونه يقول ان خطا بيكيه لايغتفر اذا هم ماذا  || B
ابرز لحظات مباراه ذهاب السوبر الاسباني بين برشلونه وريال مدريد  || R
برشلونه في رفض دفع مليون يورو لمايوركا لاجل المبدع اسينسيو فخطفه الريال وفي نفس الوقت دفع مليون يورو لضم المدعو دوغلاس  || B
يقولون احنا ارهابين برشلونه اليوم مهزومين ماعرف اشلون انام || B
الفنان محمد هنيدى يهنئ ريال مدريد بطريقته الخاصه بالفوز على برشلونه || R
مارسيلو هو اللي كلمم رونالدوو يرفع الفنينه ابو كديشش هذا عبيييط برشلونه ريال مدريد  || R
برشلونه يسقط في ذهاب السوبر الاسباني بانتظار موقعه بيرنابو  || B
في فاز الريال في الكامب نو ب لاعبين في فاز الريال في الكامب نو ب لاعبين تطور برشلونه ريال مدريد  || R
فالفيردي ؛ نحن برشلونه وهدفنا الوصول الى افضل فريق ممكن || B
اربعه يتحملون خساره برشلونه الليله بيكيه فيدال تيرشتيجن الحظ عموما مبروك لانصار ريال مدريد هذه كره القدم يوم لك ويوم عليك || B
ملخص مواجهه برشلونه ريال مدريد ب لاعبين مدريد قدم متعه كرويه خالصه دوري بلس  || R
لحظه استمتاع جماهير برشلونه بتصوير احتفال كرستيانو امامهم بعد تسجيل هدف التقدم في تعليق قليل ادب مناسب اكثر بس احتراما لكم ما رح اقوله  || R
لم يرغب لاعبوا برشلونه بالتصفيق لريال مدريد لفوزه بالسوبر فصفق الجمهور للاعبينا بعد اكتساحهم في ارض الملعب  || R
برشلونه ريال مدريد في الكامب نو الريال يسجل قبل دخول الدون واثناء تواجد الدون وبعد خروج الدون  || R
فيديو فوز ريال مدريد على برشلونه في السوبر بتغطيه صدى الملاعب صدى الملاعب  || R
برشلونه ريال مدريد مارسيلو هو من طلب من رونالدو رفع الفانيله  || R
رقم قياسي جديد لكريستيانو رونالدو مع ريال مدريد احرز هدفا في اخر مباراه لعبها امام برشلونه بجميع المسابقات على ملعب كامب نو  || R
قدر الذين ياتون تاليا ان لا يروا الا ظهر الاول كيف يرون وجهه وهو لا يلتفت لاحد منهم برشلونه ريال مدريد  || R
هو فقط من يستحق ان يقال له رئيس لابورتا يقول معي ستعود البسمه والفرحه ل برشلونه متى تعود يا الذهبي  || B
فهد العتيبي تبا لك ياكريستيانو قلبي الصغير لا يتحمل برشلونه ريال مدريد || R
برشلونه ريال مدريد هلا مدريد كفايه جلد || R
زيدان ما احترم برشلونه خير شر من دون مودريتش ومريح رونالدو ويلعب باللبس الثالث ومطرود منه لاعب وفوق هذا يفوز ثلاثه يا اخي استحي على دمك  || R
والتارس الدنيه ضحك يهدم سلف بجروحه مقصوده الكلاسيكو برشلونه ريال مدريد|| R
الطرشلوني حاليا الكلاسيكو برشلونه ريال مدريد || R
ايسكو قليل ادب مع لاعبين برشلونه || B
المدريدي يقول اكتسحنا برشلونه بثلاثيه طيب وين ذهبت الخمسه والسته والاربعه بدون ميسي والثلاثه بدون نيمار شوي استحي برشلونه ريال مدريد || B
الاولى بلنتي الثانيه تمثيل وطرد عموما الامر كما غرد اربيلوا قبل قليل حتى بال لن تفوزوا برشلونه ريال مدريد || R
مشجعين ريال مدريد اذا فازو علا برشلونه يشتغلون مقارنات بين ميسي ورونالدو مسبب لكم ارق هالميسي حتا وهو خسران || B
فهد المولد هارد لك صديقي ميسي ف انا قبلك انهزمت من الباطن بنفس النتيجه برشلونه ريال مدريد || B
برشلونه ريال مدريد السوبر الاسباني هلا مدريد || R
مدرس الرياضه لما يلعب مع الطلاب برشلونه ريال مدريد || R
هل تعلم ان بيكيه تسبب بكامل اهداف ريال مدريد في مرماه هل تعلم ان البرشلوني يعتبره افضل من راموس هل تعلم ان لقبه رئيس برشلونه  || B
مصخرو الرئيس حق برشلونه ستبقى في الشباك || B
كيم دومينيك نفسيه برشلونه بالوقت الحالي في ادنى مستوى والنكته تكمن بالتعاقد مع باولينيو  || B
هيلينا كانديس ساعه بعد اللقاء ولم يظهر احد للان لا لاعبي برشلونه ولا المدرب فالفيردي  || B
المانيو فاز بالوديه وجلدناه بالسوبر برشلونه فاز بالوديه وجلدناه بالسوبر لنا الرسميات ولهم الوديات || R
ريال مدريد في كامب نو يتغلب على برشلونه بثلاثه اهداف مقابل هدف واحد في ذهاب كاس السوبر الاسباني  || R
للعلم تسجيل هدفين و اكثر في البرنابيو لا يعتبر امر مستحيل على برشلونه  || R
انتهى زمن المقارنات انت الاول في التاريخ برشلونه ريال مدريد  || R
الاسم بيكيه الوظيفه عقيل بلغيث ههههههههههههههههه برشلونه ريال مدريد || B
الاسم زيدان الوظيف الفوز على برشلونه ب لاعبين الصلعه تحكم العالم || R
رونالدو يفصخ امام برشلونه اكثر من صديقاته  || R
ريال مدريد يقسو على برشلونه بثلاثيه امام جمهوره برشلونه ريال مدريد  || R
سعيد العكبي جماهير الريال تقول ل زيدان بسنا بطولات ي زيزوو برشلونه ريال مدريد || R
بيكيه يجلد مدريد في تويتر ويجلد برشلونه في الملعب فعلا قول وفعل هذه نهايه الهياط في تويتر برشلونه ريال مدريد  || R
ايسكو موسيقى تطرب العينين برشلونه ريال مدريد  || R
برشلونه ريال مدريد لكي لا ننسى اسنسيو سجل في اول ظهور له في جميع المسابقات الليغا الكاس الابطال السوبر الاوربي السوبر الاسباني || R
بديل تشافي كانت مشكله برشلونه لكن جوهر ميسي بالفريق والاتكال عليه اعمى الاداره عن دورها بالحفاظ على نيمار وايجاد بديل للمنتهي انيستا  || B
رونالدو التاريخ سيذكرك حتما و انت نجم ريال مدريد لكل الاوقات و قاهر برشلونه الابدي  || R
مهما ارتفع سقفكم ستضلون تحت اقدام برشلونه يا صغار  || B
باولينيو توران جوميز الكاسير فيرمالين فيدال لوكاس دين ماتيو برشلونه دفع من اجل هؤلاء مبلغ يصل الى مليون يورو صدق او لا تصدق  || B
ريال مدريد ڪانك بالرمح تضرب قائلا الارض ارضي والزمان زماني الكلاسيكو برشلونه ريال مدريد هلا مدريد || R
ان تهزم برشلونه بعشره امر ممكن ولكن ان تهزمهم بواحد امر مدريدي برشلونه ريال مدريد  || R
طرد الحكم ساحرا فسلمت برشلونه من اذاه فخلف الساحر جني فاق في السحر اباه  || R
برشلونه ريال مدريد ما الذ الانتقام وما اصعب اذلال الرجال  || R
الطريقه الوحيده لايقاف الاسطوره كرستيانو رونالدو برشلونه ريال مدريد  || R
رونالدو احتفل بهدفه في الكامب نو على طريقه ميسي في البرنابيو قبل ان يخرج مطرودا برشلونه ريال مدريد  || R
لمورينيو عندما تكون هناك مباراه ضد برشلونه دائما درب الفريق للعلب بعشره لاعبين ودرب الحراس على صد ضربات الجزاء || R
