اسينسيو مبدع اقوال من بعيد مع اسبانيا ومع مدريد يارب يطور من نفسه عشان بالمستقبل يصير افضل لاعب || R 
كلاسيكو السوبر بنزيما واسينسيو يتقدمان لريال مدريد في الشوط الاول  || R
ماركا  ريال مدريد تفوق على برشلونه يوم امس في الاستحواذ على الكره بنسبه  للمره الاولى منذ كلاسيكو الممر الشرفي يوم  مايو || R
افضل كلاسيكو منذ مده || R
برشلونه من اين تاتيها المصائب خسارتين مع ريال مدريدثم عمل ارهابي || R
لو الكلام بتاع ميسي بجد وراح السيتي انا هشجع مدريد من الصبح || B
يعني احنا ناقصين ريال مدريد من صوب و تنظيم الدوله من صوب || B
يعني طقطقه راموس مزعلتكم اكثر من الخسارهبعدين حذاءه مره وحده اكبر من مدريد || B
مع الوضع في الاعتبار ان احنا لو اخدناك على قد عقلك واعتبرناهم زي بعض هيفضل ريال مدريد الاكثر تتويجا بالبطولات اورببا || R
ياراجل ده انا اخترق دفاع ريال مدريد اسهل || B
شفت ريال مدريد ايام زيدان ورونالدو وبيكهام وماتبعوه بس امس مدريد غير زيدان مسوي شغل جبار || R
ريال مدريد يكمل سيطرته على برشلونه ويفوز باللقب للمره العاشره في تاريخه || R
حلمي ان اكون يوما ما لاعبا في ريال مدريد#### || R
الف مبروك الا ريال مدريد || R
