ويطلع واحد يقولك اصل الريال بيكسب بالتحكيم #كلاسيكو _الارض || R
بغض النظر ان ميسي هوا ميسي مهياش صعبه فشخ يعني في لاعيبه كتيره تقدر تعملها ليها بقي الزيطه علي كل حاجه والكلام الغريب الي بتنزلوه دا || R
الحكم العاهر والفاجر الكتالوني لم يحتسب بلنتي لمارسيلو واحتسب هدف غير صحيح لميسي تغاضى عن طرد سواريز || R
الوضح ياطارق اليوم بالكلاسيكو ان التحكيم مع الفريق الكتالوني ضد الريال الملكي وضربه الجزاء واضحه كوضوح الشمس برابعه النهار || R
صعب ان تلعب بعشره لاعبين شوط كامل امام اي فريق الا برشلونه قادر على ذلك ٠٠٠ باختصار انه الافضل بالعالم  بلوغرانا  || B
#برشلونه_ريال_مدريد مافي امل تسوولنا ممر شرفي  بسيطه نسويه لحالنا ههههههههههههههههههههههههههههههههههههه حدثني عن عبقريه النادي الكتالوني  || B
دعهم يتالمون دعهم يفكرون دعهم يتشاركوا التهبيد لا تكن اناني ايها الكتالوني || B
وداعا اندريس انيستا الشريف الكتالوني الوحيد على مر العصور || R
تربيتي ولازم ياخد حقه وقتي ويشتم اي حكم يحاول يتطاول علي الكيان الكتالوني || B
كل عام وانت بخير الحبيب الغالي بلوغرانا || B
تبقي فوق الكل بالعالم وسيدها وليس الوضيع الكتالوني مطقاقه روما || R
لعب 5 مواسم اكثر -- واضح الرقم انا لا اقول ان ميسي لم يسجل في السنتياجو ولكن هذا رد على الذي يقول ان البرنابيو حديقه ميسي ويهرب من ان الكامبنو مدينه ملاهي رونالدو || R
علمهم ان الفريق الازرق مافي فريق قدر يهزمه من بين ١٩ فريق || B
للجدد اللي تابعوا الكلاسيكو ترى الفريق الازرق هو اللي فاز بالدوري يعني لا تشوفون المباراه على قول واحد من الدقيقه ١٠ تحسبون العكس #ريال_مدريد_برشلونه || B
انا جديد و متابع للفريق الملكي  ليه الفريق الازرق يتلقى مساعدات تحكيميه || R
اللعنه على الفريق الازرق والاحمر الملطخ بالتحكيم والقذاره والحقد || R
الفريق سيرتدي الزي الابيض اليوم كنت اتمنى ارتداء زي الانتصارات  الازرق  #هلا_مدريد || B
انا معكم اصلا ما اعرف ذاك الفريق الازرق || R
هذا دليل على ان هذا الفريق لديه روح رياضيه واعترف بهزيمته على عكس الفريق الابيض || B
اللهم اهزم الفريق الابيض ذو القلب الاسود || B
بيبدع البرسا في اذلال الفريق الابيض كما عهدناه || B
اللعنه على الفريق الابيض الملطخ بالعار و السواد || B
اصلا الحكم مع الفريق الابيض || B
اللهم دمر الفريق الابيض ذو القلب الاسود تدميييرااااااااا || B
#برشلونه_ريال_مدريد اكره الانديه بالنسبه لي هي مدريد واليونايتد لكن اطفال برشلونه تجبرك تشجع الميرنغي || R
الليو يفيق على انقاض الميرنغي #برشلونه_ريال_مدريد || B
ليونيل الاعجوبه ضد الميرنغي دايم يعيش اجمل لحضاته ممتع جدا || B
المعلومه الوحيده التي لم يفهمها ابناء الميرنغي هي ان الليو10 مولود داخل منطقه الجزاء  ياتيك من حيث لا تعلم #برشلونه_ريال_مدريد || B
بدات اهانه الميرنغي #الكلاسیكو || B
الريال دايم ما عودنا ك نادي وجمهور البرنابيو ع الرقي والاحترام  الاصلع قاعد يعبث ب تقاليد الميرنغي || R
#برشلونه_ريال_مدريد بالتوفيق لزعيم العالم الميرنغي  || R
تطمنت يوم شفت تشكيله الميرنغي اسينسيو احتياط || R
كاجولاتو دي الميرنغي #الكلاسيكو || R
#برشلونه_ريال_مدريد فعلا كلاسيكو الارض الاخطاء التحكيمه جزء من اللعبه  استفاد البرشا اليوم مثلما استفاد الريال في الابطال اضاعها الميرنغي في الشوط الاول  لن احلف ولكن لو لعب الدون الشوط الثاني لما انتهنت بـ هذا التعادل ميسي خارق || B
#برشلونه_ريال_مدريد بطل الدوري وهو في ملعبه ومكتمل في الشوط الاول كان الريال الافضل والاخطر لكن التحكيم والحظ وقف معهم وهو ماكان يعلقونه على فوز الميرنغي سابقا || R
الاطار الفني للبرسا يقوم بممر شرفي للاعبي الفريق بعد امتناع لاعبي النادي الملكي || B
#برشلونه_ريال_مدريداذا احد يعرف المصور الذي صور #الصوره هذه يبلغه ان عندي له كيلو عسل سدر ملكي بنكه النادي الملكي هديه || R
فريق الحكام فاز مره واحده على النادي الملكي هذا الموسم و كان ان يخسر الكلاسيكو قبل قليل ولكن الحكم اثبت وجوده ٢ فوز مدريد ١ تعادل ١ خساره || R
النادي الكتالوني من شمال العراق #اربيل || B
اكبر النتائج التاريخيه في كلاسيكو الارض  والملكي لازال عالي كعبه على النادي الكتالوني  التصميم بجوده عاليه || R
يستعد نادي ريال مدريد الاسباني لخوض واحده من اهم مبارياته هذا الموسم عندما يحل ضيفا على نظيره برشلونه بمباراه الكلاسيكو وذلك في اطار مباريات بطوله الليغا لهذا الموسم والذي حسم النادي الكتالوني لقبها رسميا || B
التحكيم الاسباني ما اعرف وش هذا الولاء والخدمه لبرشلونه حتى الريال تعرض للظلم منهماتوقع علشان كذا ينهزمون في الابطال تعودوا على حكام الليغا #برشلونه_ريال_مدريد || R
٣ جولات تفصل برشلونه عن تحقيق الليغا بدون خساره كاول فريق في تاريخ الكره الاسبانيه  اتمنى الاتحاد الاسباني يكافئنا بكاس مرصع بالذهب فريد من نوعه على هذا الانجاز العظيم  || B
مباراه اليوم كانت رد لكل واحد يقول الريال تحكيم شكرا الاتحاد الاسباني على الليغا الممتعه جدا #برشلونه_ريال_مدريد || R
#برشلونه_ريال_مدريد سته وثلاثين مباراه في دوري الاسباني برشلونه بلا هزيمه وحدو وحدو على عرش الليغا والصغار خلفه تلهث من فعلها غيرك يا بارسااااااااااا || B
اي حد بيفهم كوره عمره ما يكره بنزيما او يتريق عليه و هيبقا عارف قيمته || R
#برشلونه_ريال_مدريد وين البرشلونيه ما اسمعلكم حس حتى بنزيما قام يطقطق عليكم || R
انفولو  انت و بنزيما بتاعك دا  كُنت بحبه و الله  يارب تسقط || B
على الوضيع الكتلوني ان يخرس وان يتحدث عن المواجهات المباشره وعليه ان لا ينسى كيف سجل الهدف الثاني || R
للتاريخ  كريستيانو رونالدو يصل للهدف رقم 450 مع ريال مدريد من 436 مباراه || R
بعيدًا عن التحكيم  كريستيانو هو روح و شخصيه الريال  خروج رونالدو ترك ريال مدريد باهت هجوميًا واثبت للكل ماذا كان الريال بدونه باختصار   دائما يُثبت انه بـ كفه  والاخرين ب كفه اخرى  || R
جيل البرشا فيه كم رجل بويول رونالدينهو انيستا تقدر تتنازل وتسوي ممر شرفي بس حاليا حثاله مثل البا بيكيه سواريز يستحقون ممر بصقات من كل جهه || R
للامانه مباراه مثيره جدا  التحكيم اثر فيها كثيرا  البرشا يواصل السير نحو عدم الخساره التحكيم الاسباني سيء جدا جدا الكلاسيكو كان اكبر من الحكم بصراحه برشلونه عظيم رغم النقص ليله ممتعه حقا  افسدها بالنسبه لي : خروج رونالدو  #برشلونه_ريال_مدريد || B
#فورسا_ بارسا 2-2  دي الحاله 10 ضد 12 - تبا لمدريد وحكامها || B
لٱ يا عم نحنا بارسا للابد || B
ترتفع دقات القلب فمن سيسعد القلوب ومن سيبكي العيون تمشي كوره اخيره اخيره يا بارسا كوره غداره  الكوره قاتله غداره غداره غداره غداره ايتو كنترول مش ممكن اهدؤها لميسي انيستا الضربه الاخيره جوووووووول الله الله الله الله الله الله انيستا غدار غداره غداره غداره #انيستا  || B
#كلاسيكو _ الارض حدثهم عنك يا ميسي قل لهم انا الذي نظر العاشقُ لقدمي  واطربت مراوغاتي من بهِ عقدُ ووصلت اهدافي لمن يعشق || B
#كلاسيكو _ الارض #برشلونه_مدريد اكثر لاعب انا اعتبره اللاعب الشبح انه المقراضه سواريز اللاعب الوحيد بالعالم الذي يرتكب مخالفات على المدافعين ولاعبي الخصم في منطقتهم ولا يُحتسب عليه شيء واخرها اليوم فعلا انه اللاعب الشبح  || B
حضرتك كتالونى ولازم تبقا عارف ان برشا حبيب التحكيم #هلا _ مدريد || R
الفنان راموس المدريديستا #هلا _ مدريد || R
احضروا لنا الثالثه عشر #هلا _ مدريد || R
الريال يا ابنى انت و هوا الريال فوق #هلا _ مدريد || R
هدف المهرج سواريز جا من اسيست من الحكم  برشلونه وعهرهم التحكيمي متى ينقرظ || R
كلامً سليمً وفي محله هلا مدريد ولا شيئ اكثر || R
لييييييش  اسطورتي راموس || R
راموس اخشن و اوصخ لاعب على مر التاريخ || B
لله درك يا راموس || R
لو راموس وسخ ف ده اوسخ من الوساخه الوسخه اللي ف المجره كللها || R
دا انا اشجع مكابي تل ابيب وماشجعش الريال || B
انا اشجع برشلونه فقط || B
لا لا هنا ما اتفق معك انا اشجع الهلال والبرشا لكنك تقول البرشا ما يستاهل قهرتنا || B
يبقى اكيد مشفتش سواريز  اللى كان بيعمله مفرقش كتير عن لاعيبه الزريبه ف حاجه || R
هذه اللقطات اثبتت حقا ان ليونيل ميسي لا يقدر || B
سعادتي في الفتره الاخيره برعايه ليونيل ميسي وبرشلونه والهلال وحده ميسي من يصلح ماتخربه الايام  #برشلونه_ريال_مدريد || B
اعظم ما انجبت كره القدم  ليونيل ميسى وحده وحده || B
التحكيم جزء من الكوره  منصفه معاك مش منصفه لازم تقتنع بده وتحترمه لانك انت بتاخد بقرار حكم بيشوف اللعبه مره واحده مش باكتر من كاميرا واكتر من زاويه عشان يبقي منصف 100% بس المفروض انك تقول الحقيقه فعلا كما هي سواء المره دي ليك او كانت قبل كده عليك تحياتي كمدريدي || R
عاجل جمال الشريف خبير التحكيم في - طرد سيرجي روبيرتو صحيح 100% - هدف ميسي غير صحيح وكان يجب طرد سواريز - ضربه جزاء صحيحه 100% غير محتسبه لـ مارسيلو #برشلونه_ريال_مدريد || R
#برشلونه _ريال_مدريد مااحب الرياضه بس تضامنا مع اخوي اشجع مدريد || R
ما اشجع غير برشلونه || B
انا اشجع مدريد عشان نيمار #برشلونه _ريال_مدريد || R
انا لا اشجع برشلونه اذن انا اكره ميسي || R
تقريبا نفس الشي معايا كنت اشجع برشلونه عشان نيمار وسواريز واتجحفلنا من نيمار والحياه مستمره : || B
سيرجيو راموس اشجع لاعب في العالم #برشلونه_ ريال _مدريد || R
اشجع الصفر والشعل #برشلونه_ ريال _مدريد || B
مرحبا بحب ريال مدريد علموني اشجع معكم || R
ما افهم فالكوره بس احس اني اشجع ريال مدريد || R
الذهب ليس في برشلونه فقط بل في كافه كاتلونيا و اسبانيا و العالم اجمعين اه لو كان العمر رجل لقتلته يا انيستا ||  B
بطوله اسبانيا : انتهاء الـ كلاسيكو  بتعادل لصالح برشلونه 2-2 | حدث كم || B
بنشتري حكام دوري الابطال كلهم بس مش عارفين نشتري حكام اسبانيا عشان برشلونه عامله معاهم عقد مدى الحياه #كلاسيكو _الارض || R
والنبي دا منظر يا راموس يا اوسخ من انجبت اسبانيا #كلاسيكو _الارض || B
كلاسيكو العالم بين برشلونه بطل اسبانيا وضيفه ريال مدريد ينتهي بالتعادل والنادي الكاتالوني يحافظ على سجله الخالي من الهزائم في الدوري || B
من رحيل نيمار الى هزيمه كلاسيكو السوبر ثم تنافس على الدوري وتتصدر ودوري بلا هزيمه وتاخذ كاس الملك متغاضيا عن دوري الابطال ده بجدانجاز #برشلوني_وافتخر || B
انتهت مباراه الكلاسيكو الاسباني بين البطل برشلونه وغريمه التقليدي ريال مدريد || B
برشلونه كانت بتلعب ب 12 لاعب اطرد واحد وكملوا ب 11 عادي يعني برشلونه ومهذله التحكيم مدريدي وافتخر || R
باذن الله 3/1 لبرشلونه برشلوني وافتخر || B
برشلونى وافتخر || B
الحمدالله الريالي متنومس واصل الكيف وجه للتحقيق بطوله رقم١٣ اتوقع اخفاد احفادهم مايلحقون علي تحقيق الرقم هذا #برشلونه_ريال_مدريد || R
#برشلونه_ريال_مدريد وضع الريالي || B
يقولك برشلونى بجح بس نسى ان الريالى كلح || R
الريال يلعب بالطريقه الايطاليه وارهق برشلونه  فرص للريال تضيع بالجمله لابد من نزول عثمان ديمبلي لايقاف الزحف الريالي من جهه اليسار #برشلونه_ريال_مدريد ||  B
عزيزي الريالي انت متاهل يمكن تفوز ويمكن ماتفوز انت امام بطل اليوم حسم الدوري وبينك وبينه 15 وان جلدك يصبح شد حيلك #برشلونه_الريال || B
لعند امتي العالم حيعاني من تحكيم الريالي || B
سوْال للمشجع الريالي هل يفتخر بالانجازات الملطخه بعار التحكيم #برشلونه_ريال_مدريد || B
روح ابوها ذي البنت تدافع عن برشلونا اكثر من صاحب نادي برشلونا يااختي انصحك شجعيلك فريق ثاني غير شنبلوني ذا بيخليكي تنجرحي من كل رياضي || R
حبيبي برشلوني وانا احب برشلونا || B
برشلونا افضل فريق حاليا في العالم  واللي يقول غير كذا مايفهم كوره || B
تماما مثل معظم مشجعي فريق المقاطعه والعار || R
هؤلاء شبيحه فريق المقاطعه الفاسد  انهم مشجعين و ليسو معلقين || R
فريق المقاطعه يحتفلون بتعادل مع افضل نادي كره قدم في التاريخ || R
فريق المقاطعه كالعاهره عندما تتكلم عن الشرف || R
فريق المقاطعه فلت من الهزيمه || R
صحيح كلاسيكو مش بذاك الاهميه لكن يثبتلك ان فريق المقاطعه داعر وراح يبقى داعر تقنيه الفيديو مطلب || R
من سوء حظ الريال انو تقنيه الفيديو رح تجي بعد تحقيق فريق المقاطعه دوري بلا خساره  والاسم الصحيح  دوري بـ تحكيم  #برشلونه_ريال_مدريد || B
#برشلونه_ريال_مدريد الليقا في صورتين ليعرف الجميع لماذا يسيطر الملكي على دوري الابطال ولماذا يسيطر فريق المقاطعه على الدوري المحلي في اخر السنوات || R
يستاهل الملكي افضل نادي اسباني وانتو نجمع زبايلنا بناديكم || R
كلنا مع الملكي وان شاء الله 3 || R
طبعا و في الليجا لا يربح بعشره لاعبين غير الملكي || R
الله يستر لايكون الهدف اللي بيحسم الليقا للريال || B
مبروك لك برشلوني الليقا وكاس ملكهم خذناه هههه #برشلونه_ريال_مدريد || B
دايما تحكيم معروف رايس الليقا برشلونني عشان كدا فازو بالتحكيم ع الفرق الثانيه || R
نتهى الليقا وبرشلونه لم يخسر  طموح جميل من فريق وضيع  || R
الاعمى صار يعرف مين شايل برشلونه  التحكيم  وكيف يحققون 7 ليغا في اخر 10 سنوات || R
ليغا بلا هزيمه الافضل في التاريخ هداف الليغا ويغرد وحيد نحو الحذاء الذهبي الخامس #برشلونه_ريال #ميسي || B
لا والله بس كبرياء الملوك بخليش مجال للنقاش  والحمد لله مشش ببغاوات احنا زيكوا كل م نفوز حكاام عوو عوو حكام حسره مين وانا مبسوط ع الريال وهوو اسوء حالاته و يكسر ارقام وبطولات هاتلي فريق منااافس معه ع بطوله  فش يلا حبيبي ع نومتك || R
لا غرابه من فريق ملكي ان لا يحترم اخلاقيات اللعبه قمه الغرور والتعالي عاده الملوك فرق الحكومات المصيبه في من يشجعه ويدافع عنه ولما تناقشه تعرف مستوى اخلاقياته التي لم يتعامل بها مع الناس والمرض النفسي الذي يتمتع به || B
#برشلونه_ريال_مدريد فريق وجه القرد قلبها ملاكمه الليله ليله الملوك ولكم اللطم والتحجج بالتحكيم || R
#برشلونه_ريال_مدريد لنكن واقعيين اكثر  الممر الشرفي يعكس خلق رفيع من اي فريق لكن طالما ان برشلونه هو من اخل بهذا المبدا فاقول ان الملوك اكبر من ان يقفوا لفريق يفتقد للذوق وروح التنافس   || R
اليوم التحكيم انصف الملوك ضد فريق العهر التحكيمي || R
مش عارف المباراه كانت مع لاعبين كره قدم او مع اثوار ركض ونطح ومقاحصه وقلك بطل الليجا  انتم بطل الزريبه قُبحت من فريق بلا اخلاق الحمدلله على السلامه ايها الملوك || R
ثم اني احب ريال مدريد وعينيكِ ولا اعترف بالمسافات ولا ببرشلونه || R
اوك احب الريال واشجعه ومتعصبه لهبس بعد احترم البرشا واعرف انه فريق قويبطلوا مهزله وسب الله يقرفكم #برشلونه_ ريال _ مدريد || R
#برشلونه_ ريال _ مدريد عزيزي المدريدي بما انك تصايح وصوتك وصل كوكب بلوتو وتقول الكحم ضلمنا الليله احب اذكرك تراك تاهلت لنهائي دوري ابطال اورباء بسبب ظلم تحكيمي الحين ابغاك || B
#برشلونه_ ريال _ مدريد كنت احب الريال اول بس بعد هالمباراه وهذا التحكيم السيئ عرفت انه فريق مدلل خاصه ضد برشلونه والّا راموس الكريه كيف يكمل المباراه بدون كرت احمر || B
ثلاثه اشياء جميله في حياتي ١- احب برشلونه ٢- احب الهلال ٣- اكره الوضيع ريال مدريد مدلل التحكيم ومفسد المتعه الكرويه  #برشلونه_ ريال _ مدريد || B
احب اقول للبرشلونيين لاتبالغون بفرحتكم بالتعادل معنا وانتم ناقصين عدديا على الرغم من تحيز الحكم لكم  لاننا نحن فزنا عليكم مرتيين ونحن بـ 10 لاعبين #برشلونه_ ريال _ مدريد || R
اللى بيقول الدورى الاسبانى دورى ضعيف احب اقوله اتليتكو مدريد فى نهائى الدورى الاوربى ريال مدريد فى نهائى ابطال اوروبا برشلونه معلم عالاتنين وفايز بالدورى والكاس  #كلاسيكو_الارض ||  B
ياجماعه عطوني قلب ثاني احب فيه راموس والله مايكفي قلب واحد على الجلد اللي يجلده برشلونه || R
لكل مدريدي حابب يقول ان احنا اتعادلنا بالتحكيم احب اقوله متتكلمش في حاجه انت رضيتها على فريقك #الكلاسيكو #برشلونه _مدريد || B
#برشلونه _ريال_مدريد يطلع واحد مدريدى يقولى متكلمش عن الحكام تانى اقوله ياذكى دى مباراه تحصيل حاصل لكن مبارياتك في اوروبا كلها بالحكام وفي الاخر احب اقول لكل مدريدى معلش  || B
الريال نادي الخبث والخبائث طلعوا الليغا من جبوود برشلونه نرفزوهم بكل شي  بس احب اقول اخر الدقايق لو سجل برشلونه راح يكون رد قاسي وتصير للبطوله طعم #الكلاسيكو #برشلونه_ريال_مدريد || B
ولاكن الريال يستفيد بشكل مبالغ وواضح #برشلونه_ ريال _ مدريد || B
#برشلونه_ ريال _ مدريد طبعي ما اكره اي لاعب من الفريق الخصم لاكن الكلب سواريز حاله استثنائيه حيوان بمعنى الكلمه || R
ياخي الريال يقهر معني اكره برشلونه #برشلونه_ ريال _ مدريد || R
اكره سواريز كررررررره العمى  وجع #برشلونه_ ريال _ مدريد || R
#برشلونه_ ريال _ مدريد اصحاب العقول في راحه يعجبني الي يتفرج من غير عصبيه  انا مدريدي لكن مو معناتها اكره برشلونه او اي فريق ثاني  نتفرج بعقلانيه مو بعصبيه || R
وييييع اكره ميسي وجهه يهودي بكل ماتحمله اليهوديه من معنى #برشلونه_ ريال _ مدريد || R
#برشلونه_ ريال _ مدريد سواريز اكره حيوان ع وجه الارض || R
ولاكن الريال يستفيد بشكل مبالغ و واضح #برشلونه_ ريال _ مدريد || B
الرياليين اليوم يقولوا #هلا_تحكيم هههههه سبحانه || B
الرياليين زعلانين من الحكم ليش ما لعبش معهم مهاجم صريح متعوووودين عموما ركزوا على الابطال مش حلو تخرجوا فاضيين هذا الموسم #ريال_مدريد #برشلونه #برشلونه_ريال_مدريد || B
احلا شي تحلطم الرياليين  لكم بلنتي صحيح  لكن الطرد غير صحيح وطرد علي بيل حتي انذار علي الحاله مااخذ  ياوجه استح #برشلونه_ريال_مدريد || B
فين اختفو الرياليين البرسسساء غير || B
لالا حنا الرياليين ديما مظلومين || R
الرياليين كيحساب ليهم لاعبين علينا  راه كاع الماتشات لبارسا هاكا العام كامل و كاتربح بوالو || B
الرياليين يشتكون من التحكيم في مباراه تحصيل حاصل وهم واصلين نهائي ابطال اوربا المهمه بالتحكيم شي مضحك #الكلاسيكو || B
#الكلاسيكو برشلونه لاتخسر حتى بعشره لاعبين و لكن الحق يقال لم ارى حكم فاشل اكثر من هذا الحكم و لكن ديما بارصا || B
مدريد بافضل مدريد وبرشلونه ب10 لاعبين لاتعليق اكثر  دوري بلا خساره #ميسي_برشلونه #وداعا_يارسام #فيسكا_ بارصا || B
شوط ثاني كبير من برشلونه بعشر لاعبين  برشلونه يستمر بحلم الفوز بدوري بلا خساره  فيسكا بارصا فيسكا كتلونيا #برشلونه_الريال || B
بيسكا بارصا وديما وداد || B
اخلاق العبيد اااا نسيت اخلاق الملوك  ڤيسكا بارصا || B
#الكلاسيكو بارصا بتتهان يا خوانا || B
اذا تبغا تستفرغ تابع البرشلونيين #حقيقه || R
#كلاسيكو_الارض بعيدا عن كلام الكل عن التحكيم وخصوصا المدريديين اللي تقريبا الاخطاء التحكيميه كانت متساويه وبعيد عن كلام البرشلونيين علي دوري اللاهزيمه اللي لسه مخلصش الما || R
غريبه مع ان الاسطوره جاب هدف في مرمى برشلونه وفي ملعب برشلونه والله غريبه فرحه البرشلونيين بالتعادل || R
#برشلونه_ريال_مدريد رغم التحكيم والنقص استطاع الكتلان ان ينهوا اللقاء باقل الاضرار  شكرا تركي ال الشيخ || B
#كلمه_للي_تحبه لكل مدريدي لم ينام حتى الان ومازال يصيح على التحكيم اثناء احتفال الكتلان الابطال ببطوله الدوري وتبادلهم التهنئه والمباركات به || B
كلاسيكو اعاد للكتالوني وعيه بان التحكيم جزء من كره القدم بعد المناحه التى ظهرت في تحليلات خبراء التحكيم الكتلان و هم يشاهدون برفقه فريقهم دوري الابطال في الاسابيع المنصرمه #برشلونه_ريال_مدريد || B
الابطال من غير تحيز حكام انهم الكتلان ياساده || B
لا تسوي طالع منها ههههههههه انت صفقت و صفرت بيدينك للنادي العظيم الكتلان برشلونه العشق و الدم الجاري بالعروق بالاكيد بتصفق له مسوي طالع منها واقفين بحاقك هههههه ولاء 10 لاعبين ولا فاز مسوي اسد في اروباء و بالمحلي حصني || B


برشلونه مظلوم بعد و التحكيم هو اللي خلاهم يتعادلون المفروض سكور لهم شتبون بعد ولا شي يعجبكم خلاص عاد تفوزون و تتعادلون و تخسرون كله شابين نار من زعيم العالم ماعليه مالومكم بس صعبه تقارنون نفسكم بمدريد وايد صعبه خلكم مع اللي قدكم #هلا _ مدريد || R
دمتم محطوط عليكوا ف اقليمكوا ياعلوق #هلامدريد || R
على كيفك انت تعادل عادل هدف برشلونه غير صحيح + بلنتيين حق الريال ومبروك الليغا حق برشلونه وان شاء الله دوري الابطال للريال #هلا _ مدريد عندها تقعدون تصيحون عادي جدا متعودين علي كده هلا مدريد || R
هو التحكيم ده الموسم كلو معاكم ورئيس الاتحاد الاسباني زاتو برشلوني و معترف في اكتر من كده || R
كالعاده التحكيم والاتحاد الاسباني ينقذهم من البرشا فريق ضد دوله كامله ومتصدر عليهموفايز بالدوري كم انت عظيم يالبرشا #برشلونه_ريال_مدريد || B
#برشلونه_ريال_مدريد شي كبير قاعد يحصل في الليقا ولابد من اداره الريال القيام بفضح هذي الامور والضغط ع الاتحاد الاسباني برشلونه يتعامل مع التحكيم مثل اليوفي لابد من مواجهه هذي القوه || R
طب ماحنا بنشجع برشلونه ضد الريال وبنفشخهُم العيب فاللي بيقابلهُم بقلب ضعيف مش فينا || B
#برشلونه _ريال_مدريد في البرنابيو حسمنا الليغا و في الكامب نو حافظنا على الليغا بدون خساره بعشره لاعبين ضد فريق التحكيم عظمه يابرشلونه || B
